"issue_id","type","title","duration_days","comments_count","fixer_login","is_core_member","created_at"
"20008","PR","Fixed clearable_file_input.html template to render","38.15","4","keranbyge","0","2025-10-27"
"20269","PR","Fixed #36744 -- Improved scrypt password hasher do","15.32","2","dchest","0","2025-11-19"
"20366","PR","Fixed redundant logic in PostgreSQL ArrayField sch","0.02","1","maniktyagi04","0","2025-12-03"
"20182","PR","Fixed #36280 -- Replaced exception checks with ass","16.79","2","Skyiesac","0","2025-11-16"
"19277","PR","Fixed #36260 -- Made bulk_create() work with DB-ge","9.59","1","mitya57","0","2025-03-16"
"20304","PR","Fix generatedfield autodetector","0.58","7","Ou7law007","0","2025-11-23"
"20356","PR","   Fixed #36762 -- Added See link to FieldFetchBlo","0.57","1","mohit716","0","2025-12-02"
"20360","PR","Fixed #36766 -- Tweaked reference to package in Mo","0.01","1","bkline","0","2025-12-02"
"19519","PR","Fixed #26434 -- Removed faulty clearing of orderin","147.42","7","michalnik","0","2025-06-02"
"20357","PR","Refs #35444 -- Fixed typo in PostgreSQL StringAgg ","0.03","1","Digenis","0","2025-12-02"
"20355","PR","   Fixed #36761 -- Closed file handles in test URL","0.02","1","mohit716","0","2025-12-02"
"20340","PR","Fixed #36712 -- Evaluated type annotations lazily ","2.07","1","jacobtylerwalls","0","2025-11-30"
"20347","PR","Fixed #36759 -- Fixed variable shadowing in Valida","0.47","1","mohit716","0","2025-12-01"
"20349","PR","Fix variable shadowing in ValidationError.__init__","0.01","1","Cybersinuu15","0","2025-12-01"
"20066","PR","Fixed #36420 -- Used actual SQLite parameter limit","0.57","1","kundan223","0","2025-11-07"
"16890","PR","Fixed #26739 -- Made reverse RemoveField handle no","922.35","3","DevilsAutumn","0","2023-05-23"
"19405","PR","Fixed #27489 -- Renamed permissions upon model ren","120.67","4","artirix1927","0","2025-04-20"
"20335","PR","Fixed redis-py link in cache docs.","0.05","1","browniebroke","0","2025-11-27"
"20333","PR","Fix IndexError in capfirst() when object converts ","0.0","1","khanashes","0","2025-11-26"
"20307","PR","Fixed #36753 -- Correct GitHub source links for im","2.59","3","entuziaz","0","2025-11-24"
"19947","PR","Fixed #31506 -- Documented DateField and timedelta","44.82","7","forwardyoung","0","2025-10-12"
"20326","PR","Fixed #27150 — Document that file-like objects wit","0.04","1","VIZZARD-X","0","2025-11-26"
"20322","PR","Reverted ""Fixed #36620 -- Added coverage workflow ","0.13","3","nessita","0","2025-11-25"
"18637","PR","Fixed #35783 -- Added NumDimensions GIS database f","422.03","8","smithdc1","0","2024-09-29"
"20317","PR","Fixed #36756 -- Dropped support for GDAL 3.1 and 3","0.52","3","felixxm","1","2025-11-24"
"20266","PR","Fixed #36738 -- Confirmed support for GDAL 3.12.","6.36","8","varunkasyap","0","2025-11-18"
"20303","PR","Fixed #36751 -- Fixed empty filtered aggregation c","0.77","2","charettes","1","2025-11-23"
"20297","PR","Fixed #36750 — Ensure deterministic DB-level order","1.55","1","VIZZARD-X","0","2025-11-22"
"20294","PR","Fixed #36030 -- Avoid unnecessary CAST(... AS NUME","1.82","1","VIZZARD-X","0","2025-11-22"
"20293","PR","Fixed #36112 -- Fall back to BaseDatabaseOperation","1.86","1","VIZZARD-X","0","2025-11-22"
"19004","PR","Fixed #36030 - Divide an integer field by a consta","318.85","25","gmaOCR","0","2025-01-05"
"19777","PR","Fixed #36620 -- Added coverage workflow to comment","88.1","5","0saurabh0","0","2025-08-25"
"20296","PR","Fixed #36750 -- Ensure deterministic ordering of n","0.01","1","VIZZARD-X","0","2025-11-22"
"18602","PR","Fixed #35774 -- Dropped support for GEOS 3.8.","428.82","12","smithdc1","0","2024-09-19"
"20272","PR","Fixed #36746 -- Fixed IndexError in prep_address()","1.63","1","mahdidehghandev","0","2025-11-20"
"20045","PR","Fixes #36705 -- Optimized string concatenation in ","4.07","6","varunkasyap","0","2025-11-03"
"18969","PR","Fixed #36031 -- Updated DecimalField mapping in ca","332.24","4","amansharma612","0","2024-12-24"
"19654","PR","Fixed #17854 -- Added database-specific validation","125.0","1","ApartPercentage","0","2025-07-19"
"20021","PR","Fixed #36321 -- Added argparse suggest_on_error su","21.58","2","kihuni","0","2025-10-30"
"19925","PR","Fixed #21961 -- Added support for database-level d","11.13","16","felixxm","1","2025-10-07"
"20069","PR","Fixed #36712 -- Added inspect.signature to avoid t","12.47","6","AugustoPontes1","0","2025-11-08"
"20277","PR","Fixed #36748 -- Filtered non-standard placeholders","0.34","1","CharString","0","2025-11-20"
"17724","PR","Fixed GIS tests with Oracle 23c.","679.0","1","smithdc1","0","2024-01-11"
"20181","PR","Fixed #36734 -- Clarified the behavior of View.htt","4.33","2","zubairhassan652","0","2025-11-16"
"18103","PR","Fixed #35402 -- Fixed crash when DatabaseFeatures.","574.11","15","jonmcfee03","0","2024-04-25"
"19399","PR","Fixed #35930 -- Added @sensitive_variables to data","214.52","2","AhmedNassar7","0","2025-04-20"
"19254","PR","Fixed #36189 -- Fixed Oracle Backend with `""use_re","253.84","3","Amaan-ali03","0","2025-03-12"
"20278","PR","Fixed typo in docs/howto/deployment/wsgi/apache-au","0.14","1","jacobtylerwalls","0","2025-11-20"
"20183","PR","Fixed #36737 -- Escaped C1 control characters in e","3.17","5","farthestmage","0","2025-11-17"
"19624","PR","Fixed #8408. Add ModelAdmin.estimated_count flag f","134.7","6","rylaix","0","2025-07-08"
"20267","PR","Fixed #26609 -- Extended fields.E004 system check ","0.6","1","felixxm","1","2025-11-18"
"20098","PR","Fixed #36733 -- Escaped attributes in Stylesheet._","3.71","5","varunkasyap","0","2025-11-15"
"20094","PR","Fixed #36141 -- Checked for applied replaced migra","4.55","6","georgi-yanchev","0","2025-11-13"
"20085","PR","Fixed #26379 - Documented that first filter() chai","5.2","1","annalauraw","0","2025-11-12"
"3541","PR","Fixed #23838: LazyObject is missing __iter__","11.93","7","gitaarik","0","2014-11-15"
"2341","PR","Fixed #12670 -- Added note in documentation","3.16","1","gitaarik","0","2014-02-22"
"19666","PR","Fixed #36498 -- Updated inline addText based on re","114.97","1","dorian-adams","0","2025-07-23"
"20081","PR","Fixed #36731 -- Supported asynchronous get_context","3.37","3","rroblf01","0","2025-11-11"
"20077","PR","Fixed #36723 -- Removed logic for repositioning Fi","3.36","3","varunkasyap","0","2025-11-11"
"19370","PR","Fixed #36315 -- Replaced calls to asyncio.gather w","211.4","10","graingert","0","2025-04-10"
"19369","PR","Fixed #36305 -- Added documentation indentation gu","217.61","1","AhmedNassar7","0","2025-04-10"
"20080","PR","Fixed #36724 -- Removed broken 'for' attribute fro","2.28","6","varunkasyap","0","2025-11-11"
"20001","PR","Fixed #36686 -- Clarified Meta.ordering is ignored","19.09","3","varunkasyap","0","2025-10-25"
"17554","PR","Fixed #28586 -- Added model field fetching modes.","686.81","23","adamchainz","0","2023-11-29"
"19943","PR","Fixed #36656 -- Avoided truncating async streaming","10.65","1","adamchainz","0","2025-10-10"
"20092","PR","Fixed(ArrayField):Normalized IndexTransformation b","0.01","2","akshatsinha0","0","2025-11-13"
"19648","PR","Fixed #25251 -- Added --use-clones option to never","39.54","2","florean","0","2025-07-17"
"19912","PR","Fixed #36663 -- Defaulted to running checks agains","44.57","2","charettes","1","2025-09-29"
"20076","PR","Fixed #36717 -- Redirect authenticated users on ad","2.42","5","beheh","0","2025-11-10"
"20078","PR","Fixed #20078 -- Added HTML form field equivalents ","1.28","1","Quinn-beep","0","2025-11-11"
"20075","PR","Fixed #36053 -- Corrected DOM structure for Filter","1.41","2","DaniFornons","0","2025-11-10"
"20062","PR","Fixed #36711 -- createsuperuser --noinput bypasses","5.72","1","stanly363","0","2025-11-05"
"19394","PR","Fixed #36053 -- Corrected DOM structure for Filter","205.11","4","AhmedNassar7","0","2025-04-19"
"19156","PR","Fixed #36053 - Align FilteredSelectMultiple widget","274.07","1","andrewgy8","0","2025-02-09"
"15568","PR","Fixed #13883 -- Added optgroups for SelectBox in A","1312.95","15","mmclar","0","2022-04-07"
"20072","PR","Fixed #36053 -- Corrected DOM structure for Filter","0.07","1","DaniFornons","0","2025-11-10"
"19517","PR","Fixed #36420 -- Used actual SQLite limits in last_","160.36","2","myoungjinGo-BE","0","2025-05-31"
"20041","PR","Fixed #36702 -- Fixed bulk_create to correctly ret","3.27","1","us77ipis","0","2025-11-03"
"20060","PR","Fixed #36710 -- Fixed a regression in urlize for m","0.2","1","MehrazRumman","0","2025-11-05"
"17905","PR","Fixed #10403 -- Added a declarative syntax for For","619.58","4","Mitchina","0","2024-02-25"
"20054","PR","Fixed multiple black executables causing admin_scr","0.43","3","h4l","0","2025-11-04"
"20034","PR","Refs #36680 -- Fixed tests crash due to relative p","2.4","1","jonbiemond","0","2025-11-02"
"20053","PR","Fixed #36704 -- Fixed check errors for proxy subcl","0.34","5","h4l","0","2025-11-04"
"20025","PR","Fixed #36695 -- Fixed handling of parameterized ge","3.61","6","AugustoPontes1","0","2025-10-31"
"20044","PR","[4.2.x] Fixed RelatedGeoModelTest.test_related_uni","0.05","1","felixxm","1","2025-11-03"
"19973","PR","Fixed #36652 -- Modified MigrationLoader migration","16.82","2","jayden-arrai","0","2025-10-17"
"19614","PR","Fixed #36490 -- Avoided unnecessary transaction in","44.12","2","charettes","1","2025-07-02"
"19989","PR","Fixed #36661 -- Added introspection of database-le","9.07","1","felixxm","1","2025-10-22"
"20024","PR","Fixed #36696 -- Resolved NameError with PY314 when","1.14","1","prauscher","0","2025-10-30"
"19386","PR","Fixed #36329 -- Removed non-code custom link text ","196.1","1","cliffordgama","0","2025-04-16"
"18721","PR","Fixed Sphinx's 'doctest' builder in docs.","370.41","2","pauloxnet","0","2024-10-25"
"20022","PR","Fixed #36321 -- Added argparse suggest_on_error su","0.01","2","kihuni","0","2025-10-30"
"20018","PR","Fix typo in overview.txt","0.06","1","swati-londhe","0","2025-10-29"
"20012","PR","Fixed #36596 -- Made parallel test runner respect ","0.19","2","felixxm","1","2025-10-28"
"19994","PR","Fixed #36681 -- Removed English pluralization bias","4.58","3","varunkasyap","0","2025-10-23"
"20003","PR","Fixed #36624 -- Dropped support for MySQL < 8.4.","0.85","1","felixxm","1","2025-10-26"
"16311","PR","Fixed #34170 -- Implemented Heal The Breach (HTB) ","26.93","8","pelme","0","2022-11-20"
"19986","PR","Fixed #36674 -- Prevented memory leak in select_re","2.49","4","nzioker","0","2025-10-22"
"19998","PR","Fixed IntegrityError on bulk_create.tests.BulkCrea","0.07","4","nessita","0","2025-10-24"
"18581","PR","Fixed #2750 - updated fields.txt documentation abo","405.99","2","wimfeijen","0","2024-09-13"
"19933","PR","Fixed #35095 --  Cleaned up discrepancy in Swiss n","14.26","4","annalauraw","0","2025-10-09"
"19283","PR","Fixed #36192 -- Used semantic HTML for buttons.","219.32","18","Phinart98","0","2025-03-18"
